7,2,0,-1,-1,-1,-1,-1,-1,-1
7,8,2,7,8,0,-1,-1,-1,-1
8,7,-1,-1,-1,-1,-1,-1,-1,-1
0,8,-1,-1,-1,-1,-1,-1,-1,-1
7,0,8,2,-1,-1,-1,-1,-1,-1
0,8,2,7,-1,-1,-1,-1,-1,-1
2,0,8,-1,-1,-1,-1,-1,-1,-1
0,8,2,7,-1,-1,-1,-1,-1,-1
0,8,2,7,-1,-1,-1,-1,-1,-1
7,0,8,-1,-1,-1,-1,-1,-1,-1
0,8,7,-1,-1,-1,-1,-1,-1,-1
7,8,-1,-1,-1,-1,-1,-1,-1,-1
8,7,6,9,4,3,11,-1,-1,-1
0,2,8,-1,-1,-1,-1,-1,-1,-1
0,8,7,-1,-1,-1,-1,-1,-1,-1
0,8,7,-1,-1,-1,-1,-1,-1,-1
8,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,8,-1,-1,-1,-1,-1,-1,-1,-1
0,7,8,-1,-1,-1,-1,-1,-1,-1
8,7,9,-1,-1,-1,-1,-1,-1,-1
7,0,-1,-1,-1,-1,-1,-1,-1,-1
0,8,-1,-1,-1,-1,-1,-1,-1,-1
7,8,-1,-1,-1,-1,-1,-1,-1,-1
8,7,-1,-1,-1,-1,-1,-1,-1,-1
3,4,10,5,1,0,8,7,-1,-1
8,7,0,8,7,0,7,-1,-1,-1
0,8,7,-1,-1,-1,-1,-1,-1,-1
7,8,-1,-1,-1,-1,-1,-1,-1,-1
8,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,8,7,-1,-1,-1,-1,-1,-1,-1
7,8,-1,-1,-1,-1,-1,-1,-1,-1
0,7,8,-1,-1,-1,-1,-1,-1,-1
0,8,7,-1,-1,-1,-1,-1,-1,-1
0,7,8,-1,-1,-1,-1,-1,-1,-1
2,8,7,0,-1,-1,-1,-1,-1,-1
8,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,8,7,-1,-1,-1,-1,-1,-1,-1
0,8,7,-1,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,8,7,2,-1,-1,-1,-1,-1,-1
0,8,7,-1,-1,-1,-1,-1,-1,-1
0,8,7,2,-1,-1,-1,-1,-1,-1
0,2,0,-1,-1,-1,-1,-1,-1,-1
0,8,0,8,2,7,-1,-1,-1,-1
0,7,2,8,-1,-1,-1,-1,-1,-1
8,7,-1,-1,-1,-1,-1,-1,-1,-1
11,0,8,7,-1,-1,-1,-1,-1,-1
0,7,8,-1,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,8,7,-1,-1,-1,-1,-1,-1,-1
0,8,7,-1,-1,-1,-1,-1,-1,-1
0,8,7,2,-1,-1,-1,-1,-1,-1
7,0,8,2,8,-1,-1,-1,-1,-1
