Setting	BKT-2	BKT-3	BKT-4	C BKT-2	C BKT-3	C BKT-4	LFKT-2	LFKT-3	LFKT-4	C LFKT-2	C LFKT-3	C LFKT-4
css	0.442	0.444	0.439	0.552	0.449	0.449	0.414	0.421	0.412	0.419	0.419	0.424	
center	0.451	0.45	0.454	0.445	0.467	0.454	0.433	0.436	0.425	0.437	0.432	0.427	
shape	0.425	0.429	0.423	0.424	0.434	0.425	0.394	0.391	0.39	0.404	0.394	0.395	
spread	0.451	0.465	0.415	0.447	0.477	0.48	0.446	0.469	0.461	0.461	0.436	0.453	
xy	0.475	0.485	0.489	0.492	0.492	0.496	0.463	0.457	0.459	0.465	0.452	0.461	
x_axis	0.473	0.48	0.471	0.483	0.491	0.467	0.478	0.49	0.481	0.483	0.481	0.483	
y_axis	0.526	0.488	0.484	0.478	0.479	0.491	0.461	0.46	0.479	0.46	0.446	0.446	
descrip	0.502	0.492	0.489	0.505	0.482	0.49	0.469	0.466	0.461	0.458	0.458	0.461	
d_to_h	0.499	0.499	0.516	0.504	0.526	0.521	0.444	0.457	0.435	0.451	0.443	0.443	
h_to_d	0.492	0.483	0.494	0.489	0.485	0.48	0.452	0.437	0.446	0.434	0.431	0.431	
histogram	0.473	0.471	0.469	0.472	0.485	0.479	0.403	0.4	0.389	0.397	0.409	0.419	
whole_tutor	0.475	0.474	0.474	0.476	0.477	0.477	0.432	0.429	0.432	0.43	0.429	0.432	
circleall	0.38	0.379	0.379	0.388	0.384	0.381	0.374	0.375	0.375	0.389	0.374	0.372	
composition	0.433	0.428	0.429	0.526	0.432	0.434	0.395	0.404	0.397	0.404	0.404	0.403	
parallel	0.255	0.252	0.254	0.379	0.423	0.252	0.262	0.269	0.261	0.27	0.28	0.272	
pentagon	0.414	0.4	0.404	0.455	0.397	0.446	0.425	0.411	0.423	0.414	0.426	0.407	
triangle	0.435	0.434	0.434	0.438	0.435	0.445	0.417	0.412	0.403	0.402	0.418	0.409	
trap	0.542	0.531	0.531	0.503	0.53	0.514	0.519	0.512	0.52	0.511	0.529	0.528	
all_geom	--	--	--	--	--	--	0.425	0.432	--	0.43	0.421	0.43	
